No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,AQI_Level
22081,2015,9,7,0,19,20,2,22,200,42,19,1004,14.7,0,NNE,1.1,Changping,07-09-2015 00:00,Good
22082,2015,9,7,1,13,20,2,22,100,42,17.9,1004.2,15,0,NNE,1,Changping,07-09-2015 01:00,Good
22082,2015,9,7,1,31,43,3,40,800,2,18.1,1009,16.6,0,ESE,0.4,Tiantan,07-09-2015 01:00,Good
22082,2015,9,7,1,19,27,2,8,600,27,16.8,1004.3,16,0,NNW,0.7,Huairou,07-09-2015 01:00,Good
22082,2015,9,7,1,28,52,2,69,900,2,18.1,1009,16.6,0,ESE,0.4,Wanshouxigong,07-09-2015 01:00,Good
22083,2015,9,7,2,12,18,2,37,200,28,17.9,1004.1,14.8,0,NW,1.4,Changping,07-09-2015 02:00,Good
22083,2015,9,7,2,28,33,3,43,700,2,17.4,1008.8,16.3,0,ESE,0.8,Tiantan,07-09-2015 02:00,Good
22083,2015,9,7,2,25,36,2,60,800,2,17.4,1008.8,16.3,0,ESE,0.8,Wanshouxigong,07-09-2015 02:00,Good
22083,2015,9,7,2,17,17,2,5,400,27,16.4,1004.2,15.8,0,W,0.6,Huairou,07-09-2015 02:00,Good
22084,2015,9,7,3,20,26,2,12,400,12,15.9,1004.3,15.3,0,W,0.2,Huairou,07-09-2015 03:00,Good
22084,2015,9,7,3,23,23,2,36,200,23,17.8,1004.3,15.1,0,NNW,0.5,Changping,07-09-2015 03:00,Good
22084,2015,9,7,3,23,32,2,55,700,2,17,1008.9,16,0,E,0.7,Wanshouxigong,07-09-2015 03:00,Good
22084,2015,9,7,3,27,28,3,32,700,2,17,1008.9,16,0,E,0.7,Tiantan,07-09-2015 03:00,Good
22085,2015,9,7,4,14,19,2,38,200,21,16.8,1004.6,14.8,0,NE,0.8,Changping,07-09-2015 04:00,Good
22085,2015,9,7,4,17,26,2,8,300,15,15.5,1004.6,15,0,WNW,0.7,Huairou,07-09-2015 04:00,Good
22085,2015,9,7,4,29,41,2,49,800,2,16.5,1009.3,15.9,0,ENE,0.4,Wanshouxigong,07-09-2015 04:00,Good
22085,2015,9,7,4,24,26,3,22,600,2,16.5,1009.3,15.9,0,ENE,0.4,Tiantan,07-09-2015 04:00,Good
22086,2015,9,7,5,17,17,2,7,400,12,15.3,1004.8,14.8,0,NW,0.9,Huairou,07-09-2015 05:00,Good
22086,2015,9,7,5,26,30,2,45,900,2,16.7,1009.6,16.2,0,NE,0.8,Wanshouxigong,07-09-2015 05:00,Good
22086,2015,9,7,5,21,26,4,24,700,2,16.7,1009.6,16.2,0,NE,0.8,Tiantan,07-09-2015 05:00,Good
22086,2015,9,7,5,19,20,2,35,300,21,16.4,1004.9,14.8,0,NNW,1.6,Changping,07-09-2015 05:00,Good
22087,2015,9,7,6,21,33,2,56,800,2,16.4,1009.8,15.8,0,E,0.8,Wanshouxigong,07-09-2015 06:00,Good
22087,2015,9,7,6,15,21,2,7,400,8,15.1,1005.1,14.6,0,NNW,0.6,Huairou,07-09-2015 06:00,Good
22087,2015,9,7,6,26,29,4,29,700,2,16.4,1009.8,15.8,0,E,0.8,Tiantan,07-09-2015 06:00,Good
22087,2015,9,7,6,26,42,3,52,700,2,16.1,1005.2,14.8,0,NW,0.9,Changping,07-09-2015 06:00,Good
22088,2015,9,7,7,22,45,2,43,700,11,18.7,1010.3,15.9,0,ENE,1.1,Wanshouxigong,07-09-2015 07:00,Good
22088,2015,9,7,7,16,29,2,7,400,3,17.3,1005.6,16.8,0,ENE,0,Huairou,07-09-2015 07:00,Good
22088,2015,9,7,7,25,46,4,32,800,2,18.7,1010.3,15.9,0,ENE,1.1,Tiantan,07-09-2015 07:00,Good
22088,2015,9,7,7,20,45,2,51,400,2,17.6,1005.5,15.2,0,NW,1,Changping,07-09-2015 07:00,Good
22089,2015,9,7,8,19,26,2,35,600,24,20.7,1010.3,15.9,0,NE,1.3,Wanshouxigong,07-09-2015 08:00,Good
22089,2015,9,7,8,29,40,4,50,800,9,20.7,1010.3,15.9,0,NE,1.3,Tiantan,07-09-2015 08:00,Good
22089,2015,9,7,8,18,25,4,56,500,8,21,1005.6,15.1,0,NE,0.4,Changping,07-09-2015 08:00,Good
22089,2015,9,7,8,21,51,2,17,500,5,20.5,1005.7,16.5,0,E,0.9,Huairou,07-09-2015 08:00,Good
22090,2015,9,7,9,22,37,4,54,700,21,22.4,1010.3,15,0,NNE,2,Tiantan,07-09-2015 09:00,Good
22090,2015,9,7,9,22,42,5,56,400,13,23.5,1005.2,15.8,0,S,1.3,Changping,07-09-2015 09:00,Good
22090,2015,9,7,9,20,45,2,14,500,16,22.7,1005.4,17.4,0,ESE,1.3,Huairou,07-09-2015 09:00,Good
22090,2015,9,7,9,19,32,2,36,700,36,22.4,1010.3,15,0,NNE,2,Wanshouxigong,07-09-2015 09:00,Good
22091,2015,9,7,10,20,50,2,12,400,37,24.1,1005.2,16.4,0,ESE,1.2,Huairou,07-09-2015 10:00,Good
22091,2015,9,7,10,22,36,4,51,700,35,24.4,1010.1,16.4,0,ESE,0.7,Tiantan,07-09-2015 10:00,Good
22091,2015,9,7,10,21,52,6,52,700,21,25,1005.2,16.7,0,SSW,1.4,Changping,07-09-2015 10:00,Good
22091,2015,9,7,10,19,31,2,37,700,49,24.4,1010.1,16.4,0,ESE,0.7,Wanshouxigong,07-09-2015 10:00,Good
22092,2015,9,7,11,25,38,6,42,2600,67,25.9,1009.6,15.3,0,W,1,Tiantan,07-09-2015 11:00,Good
22092,2015,9,7,11,18,32,2,33,700,73,25.9,1009.6,15.3,0,W,1,Wanshouxigong,07-09-2015 11:00,Good
22092,2015,9,7,11,27,37,6,44,800,44,26.3,1004.8,15,0,SW,1.3,Changping,07-09-2015 11:00,Good
22092,2015,9,7,11,16,25,2,7,500,71,25.7,1004.7,16.3,0,ENE,1.1,Huairou,07-09-2015 11:00,Good
22093,2015,9,7,12,20,21,2,5,400,99,26.4,1004,16.9,0,SW,1.7,Huairou,07-09-2015 12:00,Good
22093,2015,9,7,12,30,36,4,39,700,94,27.2,1008.8,15.6,0,SSE,1.9,Tiantan,07-09-2015 12:00,Good
22093,2015,9,7,12,19,23,5,29,700,76,27.8,1004,15.5,0,SSW,2,Changping,07-09-2015 12:00,Good
22093,2015,9,7,12,23,41,2,36,700,93,27.2,1008.8,15.6,0,SSE,1.9,Wanshouxigong,07-09-2015 12:00,Good
22094,2015,9,7,13,19,48,3,4,400,116,27.2,1003.7,16.8,0,S,2.7,Huairou,07-09-2015 13:00,Good
22094,2015,9,7,13,24,38,2,31,700,119,27.7,1008.4,14.7,0,WSW,1.9,Wanshouxigong,07-09-2015 13:00,Good
22094,2015,9,7,13,16,33,4,30,700,97,28.5,1003.6,15.4,0,S,2.4,Changping,07-09-2015 13:00,Good
22094,2015,9,7,13,21,38,4,33,600,120,27.7,1008.4,14.7,0,WSW,1.9,Tiantan,07-09-2015 13:00,Good
22095,2015,9,7,14,18,38,4,20,1000,162,28.5,1008.4,14,0,WNW,1.8,Tiantan,07-09-2015 14:00,Good
22095,2015,9,7,14,18,59,3,3,400,131,28,1003.6,15.6,0,SSW,2.5,Huairou,07-09-2015 14:00,Good
22095,2015,9,7,14,19,33,2,18,600,147,28.5,1008.4,14,0,WNW,1.8,Wanshouxigong,07-09-2015 14:00,Good
22095,2015,9,7,14,24,24,3,29,700,117,29.1,1003.5,14.1,0,S,2.2,Changping,07-09-2015 14:00,Good
22096,2015,9,7,15,24,28,4,14,500,172,28.7,1008.1,14.9,0,WSW,2.3,Tiantan,07-09-2015 15:00,Good
22096,2015,9,7,15,18,24,3,6,400,144,28.2,1003.4,16.1,0,SSW,2.3,Huairou,07-09-2015 15:00,Good
22096,2015,9,7,15,18,26,2,16,600,150,28.7,1008.1,14.9,0,WSW,2.3,Wanshouxigong,07-09-2015 15:00,Good
22096,2015,9,7,15,14,17,2,23,700,133,29.8,1003,13.5,0,S,1.9,Changping,07-09-2015 15:00,Good
22097,2015,9,7,16,14,18,2,15,500,145,28.7,1007.9,13.8,0,S,1.8,Wanshouxigong,07-09-2015 16:00,Good
22097,2015,9,7,16,19,24,4,12,500,167,28.7,1007.9,13.8,0,S,1.8,Tiantan,07-09-2015 16:00,Good
22097,2015,9,7,16,12,21,2,19,600,147,29.5,1002.9,14.1,0,SE,2.2,Changping,07-09-2015 16:00,Good
22097,2015,9,7,16,19,25,3,9,500,157,28.4,1003.1,15.3,0,SW,2.3,Huairou,07-09-2015 16:00,Good
22098,2015,9,7,17,24,48,3,18,700,169,28.1,1003.2,15.7,0,SW,1.8,Huairou,07-09-2015 17:00,Good
22098,2015,9,7,17,15,33,2,24,700,156,28.6,1003.3,13.3,0,S,2.6,Changping,07-09-2015 17:00,Good
22098,2015,9,7,17,16,38,2,21,600,140,28,1008.1,14.3,0,S,2.3,Wanshouxigong,07-09-2015 17:00,Good
22098,2015,9,7,17,11,36,3,12,500,165,28,1008.1,14.3,0,S,2.3,Tiantan,07-09-2015 17:00,Good
22099,2015,9,7,18,22,33,2,29,700,140,27.1,1003.1,14.1,0,S,1.7,Changping,07-09-2015 18:00,Good
22099,2015,9,7,18,21,46,2,26,600,135,26.9,1008.1,14.6,0,SSW,3.1,Wanshouxigong,07-09-2015 18:00,Good
22099,2015,9,7,18,29,58,3,27,600,196,26.6,1003.3,16.8,0,SSE,0.8,Huairou,07-09-2015 18:00,Good
22099,2015,9,7,18,15,39,4,14,500,149,26.9,1008.1,14.6,0,SSW,3.1,Tiantan,07-09-2015 18:00,Good
22100,2015,9,7,19,16,49,2,45,800,116,25.9,1003.3,15.6,0,SE,1.2,Changping,07-09-2015 19:00,Good
22100,2015,9,7,19,33,62,2,40,700,154,22.8,1003.4,17.7,0,NW,1.3,Huairou,07-09-2015 19:00,Good
22100,2015,9,7,19,21,38,5,20,600,144,25.8,1008.3,14.6,0,SSW,2.3,Tiantan,07-09-2015 19:00,Good
22100,2015,9,7,19,27,52,2,35,700,128,25.8,1008.3,14.6,0,SSW,2.3,Wanshouxigong,07-09-2015 19:00,Good
22101,2015,9,7,20,29,59,2,41,800,118,25.3,1009.2,12.8,0,SW,2.2,Wanshouxigong,07-09-2015 20:00,Good
22101,2015,9,7,20,21,54,2,47,800,89,23.6,1004.2,15.6,0,NE,0.9,Changping,07-09-2015 20:00,Good
22101,2015,9,7,20,35,77,2,31,800,110,21.5,1004.3,18.3,0,NW,0.6,Huairou,07-09-2015 20:00,Good
22101,2015,9,7,20,24,47,5,32,600,128,25.3,1009.2,12.8,0,SW,2.2,Tiantan,07-09-2015 20:00,Good
22102,2015,9,7,21,25,41,2,36,800,78,22.5,1004.7,15.8,0,NE,0.6,Changping,07-09-2015 21:00,Good
22102,2015,9,7,21,39,71,2,25,900,77,20.8,1005,18.2,0,NW,1,Huairou,07-09-2015 21:00,Good
22102,2015,9,7,21,31,50,5,38,700,106,24.3,1009.7,12.9,0,S,1.3,Tiantan,07-09-2015 21:00,Good
22102,2015,9,7,21,27,67,2,50,800,93,24.3,1009.7,12.9,0,S,1.3,Wanshouxigong,07-09-2015 21:00,Good
22103,2015,9,7,22,30,68,3,49,800,88,24.1,1009.8,13.3,0,SSW,1.4,Wanshouxigong,07-09-2015 22:00,Good
22103,2015,9,7,22,30,58,5,59,800,70,24.1,1009.8,13.3,0,SSW,1.4,Tiantan,07-09-2015 22:00,Good
22103,2015,9,7,22,30,46,2,43,900,65,21.9,1004.9,15.7,0,N,0.7,Changping,07-09-2015 22:00,Good
22103,2015,9,7,22,39,59,2,22,800,66,20.4,1005.1,17.8,0,NW,0.9,Huairou,07-09-2015 22:00,Good
22104,2015,9,7,23,33,74,3,49,800,79,23.1,1009.8,14.1,0,SSW,0.9,Wanshouxigong,07-09-2015 23:00,Good
22104,2015,9,7,23,42,58,2,23,800,43,19.8,1005.1,17.9,0,NW,0.6,Huairou,07-09-2015 23:00,Good
22104,2015,9,7,23,42,69,5,75,1000,42,23.1,1009.8,14.1,0,SSW,0.9,Tiantan,07-09-2015 23:00,Good
22104,2015,9,7,23,29,37,2,32,800,71,21.8,1004.9,15.4,0,NE,1.1,Changping,07-09-2015 23:00,Good
22105,2015,9,8,0,25,35,2,26,700,75,20.6,1005.2,15.4,0,WSW,0.5,Changping,08-09-2015 00:00,Good
22105,2015,9,8,0,48,78,5,88,1000,28,20.4,1009.8,15.4,0,SSE,0.7,Tiantan,08-09-2015 00:00,Good
22105,2015,9,8,0,41,55,2,28,800,26,19.2,1005.3,17.2,0,NW,1.4,Huairou,08-09-2015 00:00,Good
22105,2015,9,8,0,39,79,2,50,800,63,20.4,1009.8,15.4,0,SSE,0.7,Wanshouxigong,08-09-2015 00:00,Good
22106,2015,9,8,1,49,82,2,56,900,48,19.1,1009.9,16.1,0,SSE,0.4,Wanshouxigong,08-09-2015 01:00,Good
22106,2015,9,8,1,47,75,4,76,1000,24,19.1,1009.9,16.1,0,SSE,0.4,Tiantan,08-09-2015 01:00,Good
22106,2015,9,8,1,34,44,2,15,700,41,18.3,1005.3,16.8,0,WNW,1.6,Huairou,08-09-2015 01:00,Good
22106,2015,9,8,1,24,36,2,23,800,62,19.6,1005.3,15.5,0,NNE,1,Changping,08-09-2015 01:00,Good
22107,2015,9,8,2,51,79,2,55,900,43,18.3,1009.9,16.1,0,SW,0.2,Wanshouxigong,08-09-2015 02:00,Moderate
22107,2015,9,8,2,49,70,3,62,1000,16,18.3,1009.9,16.1,0,SW,0.2,Tiantan,08-09-2015 02:00,Good
22107,2015,9,8,2,29,30,2,6,600,46,17.4,1005.3,16.3,0,NW,1,Huairou,08-09-2015 02:00,Good
22107,2015,9,8,2,25,31,2,24,600,55,19.3,1005.3,15.4,0,NNW,0.9,Changping,08-09-2015 02:00,Good
22108,2015,9,8,3,57,78,2,46,800,44,17.5,1009.9,16,0,ESE,0.9,Wanshouxigong,08-09-2015 03:00,Moderate
22108,2015,9,8,3,28,29,2,6,600,40,17,1005.5,16.2,0,WNW,1,Huairou,08-09-2015 03:00,Good
22108,2015,9,8,3,27,34,2,25,700,55,19,1005.3,14.9,0,N,1,Changping,08-09-2015 03:00,Good
22108,2015,9,8,3,50,63,3,56,900,7,17.5,1009.9,16,0,ESE,0.9,Tiantan,08-09-2015 03:00,Good
22109,2015,9,8,4,28,31,2,5,600,36,16.5,1005.6,15.9,0,NW,0.7,Huairou,08-09-2015 04:00,Good
22109,2015,9,8,4,57,70,2,59,1000,4,17.1,1010.1,16,0,SW,0.1,Tiantan,08-09-2015 04:00,Moderate
22109,2015,9,8,4,65,89,2,48,900,30,17.1,1010.1,16,0,SW,0.1,Wanshouxigong,08-09-2015 04:00,Moderate
22109,2015,9,8,4,22,33,2,20,800,49,17.7,1005.6,15,0,NNW,1.3,Changping,08-09-2015 04:00,Good
22110,2015,9,8,5,74,88,2,54,900,18,16.9,1010.4,15.8,0,NE,0.8,Wanshouxigong,08-09-2015 05:00,Moderate
22110,2015,9,8,5,31,43,2,63,800,12,17,1005.9,14.8,0,NNW,1.6,Changping,08-09-2015 05:00,Good
22110,2015,9,8,5,28,31,2,5,600,31,15.9,1005.7,15.3,0,NNE,0.9,Huairou,08-09-2015 05:00,Good
22110,2015,9,8,5,59,64,3,46,1000,2,16.9,1010.4,15.8,0,NE,0.8,Tiantan,08-09-2015 05:00,Moderate
22111,2015,9,8,6,79,90,2,53,1000,12,16.7,1010.9,16.1,0,NNE,1.1,Wanshouxigong,08-09-2015 06:00,Moderate
22111,2015,9,8,6,33,39,2,47,900,27,17.1,1006.2,14.7,0,NNW,0.8,Changping,08-09-2015 06:00,Good
22111,2015,9,8,6,29,32,2,6,600,30,15.7,1006.3,15.1,0,N,0.7,Huairou,08-09-2015 06:00,Good
22111,2015,9,8,6,60,69,3,47,1100,2,16.7,1010.9,16.1,0,NNE,1.1,Tiantan,08-09-2015 06:00,Moderate
22112,2015,9,8,7,80,109,2,62,1200,4,18.6,1011.4,16.7,0,NE,1.1,Wanshouxigong,08-09-2015 07:00,Moderate
22112,2015,9,8,7,33,47,2,34,900,39,17.9,1006.7,15,0,NNW,1.5,Changping,08-09-2015 07:00,Good
22112,2015,9,8,7,30,45,2,10,700,27,17.1,1006.7,16.5,0,ENE,0.3,Huairou,08-09-2015 07:00,Good
22112,2015,9,8,7,65,80,4,41,1200,2,18.6,1011.4,16.7,0,NE,1.1,Tiantan,08-09-2015 07:00,Moderate
22113,2015,9,8,8,34,55,3,50,1100,29,20.5,1006.7,15.7,0,W,0.7,Changping,08-09-2015 08:00,Good
22113,2015,9,8,8,40,75,2,32,800,15,20.9,1006.6,18.1,0,ESE,0.9,Huairou,08-09-2015 08:00,Good
22113,2015,9,8,8,70,108,5,93,1400,4,20.5,1011.3,16.7,0,ENE,1.1,Tiantan,08-09-2015 08:00,Moderate
22113,2015,9,8,8,59,92,2,81,1300,7,20.5,1011.3,16.7,0,ENE,1.1,Wanshouxigong,08-09-2015 08:00,Moderate
22114,2015,9,8,9,47,76,4,24,700,43,22.3,1006.5,16.8,0,E,1.4,Huairou,08-09-2015 09:00,Good
22114,2015,9,8,9,72,106,3,92,1300,19,22.2,1011.2,17.1,0,ENE,1.7,Wanshouxigong,08-09-2015 09:00,Moderate
22114,2015,9,8,9,48,65,4,61,1000,36,22.3,1006.5,15.6,0,W,0.8,Changping,08-09-2015 09:00,Good
22114,2015,9,8,9,75,116,6,108,1400,9,22.2,1011.2,17.1,0,ENE,1.7,Tiantan,08-09-2015 09:00,Moderate
22115,2015,9,8,10,79,106,7,111,1300,23,23.9,1011.5,17.4,0,ENE,1.1,Tiantan,08-09-2015 10:00,Moderate
22115,2015,9,8,10,52,79,5,62,1000,54,23.8,1006.6,16.1,0,SSW,1.6,Changping,08-09-2015 10:00,Moderate
22115,2015,9,8,10,37,67,5,15,600,82,24.6,1006.7,16.6,0,E,1,Huairou,08-09-2015 10:00,Good
22115,2015,9,8,10,76,110,5,88,1200,41,23.9,1011.5,17.4,0,ENE,1.1,Wanshouxigong,08-09-2015 10:00,Moderate
22116,2015,9,8,11,71,79,15,97,1200,76,25.8,1011,16.4,0,S,1.7,Tiantan,08-09-2015 11:00,Moderate
22116,2015,9,8,11,47,69,12,13,700,129,25.7,1006.4,17.1,0,SSE,0.9,Huairou,08-09-2015 11:00,Good
22116,2015,9,8,11,60,60,14,70,1000,92,25.8,1011,16.4,0,S,1.7,Wanshouxigong,08-09-2015 11:00,Moderate
22116,2015,9,8,11,52,77,6,35,900,114,25.6,1006.2,16.2,0,SE,2,Changping,08-09-2015 11:00,Moderate
22117,2015,9,8,12,45,66,12,13,700,150,25.8,1006.1,15.5,0,SW,1.8,Huairou,08-09-2015 12:00,Good
22117,2015,9,8,12,43,51,19,34,700,163,26.7,1010.8,12.7,0,WSW,3.7,Tiantan,08-09-2015 12:00,Good
22117,2015,9,8,12,44,75,16,43,800,142,26.7,1010.8,12.7,0,WSW,3.7,Wanshouxigong,08-09-2015 12:00,Good
22117,2015,9,8,12,61,74,7,29,900,157,25.5,1006,16.1,0,SSE,2.2,Changping,08-09-2015 12:00,Moderate
22118,2015,9,8,13,59,66,7,33,900,159,25.9,1005.7,15,0,SE,1.5,Changping,08-09-2015 13:00,Moderate
22118,2015,9,8,13,45,67,12,14,700,180,26.5,1005.7,15.8,0,WSW,2.3,Huairou,08-09-2015 13:00,Good
22118,2015,9,8,13,35,53,15,21,600,187,26.2,1010.4,11.9,0,WSW,2.6,Tiantan,08-09-2015 13:00,Good
22118,2015,9,8,13,34,50,11,20,600,168,26.2,1010.4,11.9,0,WSW,2.6,Wanshouxigong,08-09-2015 13:00,Good
22119,2015,9,8,14,30,45,13,15,500,183,27.4,1010.3,11.4,0,SSW,2,Tiantan,08-09-2015 14:00,Good
22119,2015,9,8,14,59,79,13,35,800,181,27,1005.4,15.4,0,SSW,1.8,Huairou,08-09-2015 14:00,Moderate
22119,2015,9,8,14,56,70,7,41,1000,148,26.5,1005.3,14.6,0,S,1.1,Changping,08-09-2015 14:00,Moderate
22119,2015,9,8,14,36,54,11,19,700,169,27.4,1010.3,11.4,0,SSW,2,Wanshouxigong,08-09-2015 14:00,Good
22120,2015,9,8,15,37,37,10,29,800,166,26.7,1005.3,11.6,0,S,1.9,Changping,08-09-2015 15:00,Good
22120,2015,9,8,15,30,42,8,21,700,164,26.2,1010.2,11.1,0,SSW,2.3,Wanshouxigong,08-09-2015 15:00,Good
22120,2015,9,8,15,36,42,11,17,500,184,26.2,1010.2,11.1,0,SSW,2.3,Tiantan,08-09-2015 15:00,Good
22120,2015,9,8,15,80,113,15,63,1000,166,25.9,1005.2,15.6,0,SW,1.7,Huairou,08-09-2015 15:00,Moderate
22121,2015,9,8,16,74,85,13,41,800,187,25.4,1005.3,15.1,0,SW,1.8,Huairou,08-09-2015 16:00,Moderate
22121,2015,9,8,16,29,50,7,31,700,156,25.9,1005.2,12.4,0,S,2.1,Changping,08-09-2015 16:00,Good
22121,2015,9,8,16,39,51,11,21,600,184,25.8,1010.1,11.5,0,SW,2.1,Tiantan,08-09-2015 16:00,Good
22121,2015,9,8,16,33,59,9,27,700,165,25.8,1010.1,11.5,0,SW,2.1,Wanshouxigong,08-09-2015 16:00,Good
22122,2015,9,8,17,46,46,10,26,600,180,24.9,1005.5,14.4,0,S,0.9,Huairou,08-09-2015 17:00,Good
22122,2015,9,8,17,31,63,7,38,800,151,25.5,1005.4,12.7,0,SSE,1.6,Changping,08-09-2015 17:00,Good
22122,2015,9,8,17,42,77,10,31,800,162,25.4,1010.2,12.3,0,S,1.4,Wanshouxigong,08-09-2015 17:00,Good
22122,2015,9,8,17,36,64,13,24,700,190,25.4,1010.2,12.3,0,S,1.4,Tiantan,08-09-2015 17:00,Good
22123,2015,9,8,18,42,67,8,42,900,151,25.3,1005.7,12.8,0,SE,1.8,Changping,08-09-2015 18:00,Good
22123,2015,9,8,18,46,79,16,32,700,185,25,1010.6,13.5,0,SSE,0.9,Tiantan,08-09-2015 18:00,Good
22123,2015,9,8,18,36,68,7,43,700,134,23.8,1005.9,17.1,0,N,0.8,Huairou,08-09-2015 18:00,Good
22123,2015,9,8,18,44,83,11,38,800,156,25,1010.6,13.5,0,SSE,0.9,Wanshouxigong,08-09-2015 18:00,Good
22124,2015,9,8,19,51,93,7,44,900,132,23.1,1010.7,15.2,0,ESE,1.2,Wanshouxigong,08-09-2015 19:00,Moderate
22124,2015,9,8,19,57,90,11,41,800,135,23.1,1010.7,15.2,0,ESE,1.2,Tiantan,08-09-2015 19:00,Moderate
22124,2015,9,8,19,34,66,6,52,700,103,22.1,1006.1,16.8,0,NW,1,Huairou,08-09-2015 19:00,Good
22124,2015,9,8,19,45,88,6,65,1000,109,23,1006,15.8,0,NE,1,Changping,08-09-2015 19:00,Good
22125,2015,9,8,20,68,119,5,58,1200,113,22.8,1011.5,15.6,0,SSE,0.8,Wanshouxigong,08-09-2015 20:00,Moderate
22125,2015,9,8,20,43,74,3,43,1000,89,22.8,1006.7,14.9,0,ENE,1,Changping,08-09-2015 20:00,Good
22125,2015,9,8,20,56,95,7,47,1000,91,22.8,1011.5,15.6,0,SSE,0.8,Tiantan,08-09-2015 20:00,Moderate
22125,2015,9,8,20,46,90,5,41,800,92,20.9,1006.8,16.1,0,WNW,1.3,Huairou,08-09-2015 20:00,Good
22126,2015,9,8,21,72,116,4,54,1200,109,22.1,1012,16.4,0,SSE,0.5,Wanshouxigong,08-09-2015 21:00,Moderate
22126,2015,9,8,21,38,50,3,36,900,96,22.2,1007.6,14.6,0,NW,0.9,Changping,08-09-2015 21:00,Good
22126,2015,9,8,21,59,90,6,42,1000,82,22.1,1012,16.4,0,SSE,0.5,Tiantan,08-09-2015 21:00,Moderate
22126,2015,9,8,21,48,90,3,26,800,78,20.3,1007.4,15.9,0,NNW,1.1,Huairou,08-09-2015 21:00,Good
22127,2015,9,8,22,41,57,3,29,800,98,21.6,1008.1,14.5,0,W,0.7,Changping,08-09-2015 22:00,Good
22127,2015,9,8,22,51,76,2,16,800,81,20,1008.1,16,0,W,0.5,Huairou,08-09-2015 22:00,Moderate
22127,2015,9,8,22,57,86,5,42,1000,86,21.3,1012.6,16.9,0,NE,0.3,Tiantan,08-09-2015 22:00,Moderate
22127,2015,9,8,22,81,118,4,71,1400,84,21.3,1012.6,16.9,0,NE,0.3,Wanshouxigong,08-09-2015 22:00,Moderate
22128,2015,9,8,23,64,86,4,51,1200,43,20.6,1012.5,17,0,ESE,0.8,Tiantan,08-09-2015 23:00,Moderate
22128,2015,9,8,23,41,54,3,31,800,93,20.6,1008.1,14.7,0,NW,0.9,Changping,08-09-2015 23:00,Good
22128,2015,9,8,23,44,54,2,12,700,96,19.3,1008,16.3,0,NW,0.1,Huairou,08-09-2015 23:00,Good
22128,2015,9,8,23,87,117,2,75,1500,58,20.6,1012.5,17,0,ESE,0.8,Wanshouxigong,08-09-2015 23:00,Moderate
22129,2015,9,9,0,87,106,2,79,1600,44,21.4,1012.8,16.4,0,NE,1.1,Wanshouxigong,09-09-2015 00:00,Moderate
22129,2015,9,9,0,74,85,4,69,1300,20,21.4,1012.8,16.4,0,NE,1.1,Tiantan,09-09-2015 00:00,Moderate
22129,2015,9,9,0,44,61,3,50,900,70,20.5,1008.2,14.8,0,NNW,1,Changping,09-09-2015 00:00,Good
22129,2015,9,9,0,47,64,2,10,700,88,18.4,1008.1,16,0,NNE,0.4,Huairou,09-09-2015 00:00,Good
22130,2015,9,9,1,87,111,2,108,1700,14,20.2,1012.7,17.6,0,ESE,0.8,Wanshouxigong,09-09-2015 01:00,Moderate
22130,2015,9,9,1,51,63,3,60,900,57,20.4,1008,14.7,0,NNE,0.9,Changping,09-09-2015 01:00,Moderate
22130,2015,9,9,1,45,53,2,8,800,73,17.8,1008,16.3,0,NW,1,Huairou,09-09-2015 01:00,Good
22130,2015,9,9,1,81,95,4,84,1400,14,20.2,1012.7,17.6,0,ESE,0.8,Tiantan,09-09-2015 01:00,Moderate
22131,2015,9,9,2,43,53,2,6,600,65,17.8,1007.9,15.8,0,N,0.5,Huairou,09-09-2015 02:00,Good
22131,2015,9,9,2,44,60,2,36,900,72,20,1008,14.6,0,NNW,1.3,Changping,09-09-2015 02:00,Good
22131,2015,9,9,2,76,117,2,109,1400,2,20.1,1012.7,17.7,0,ENE,0.8,Wanshouxigong,09-09-2015 02:00,Moderate
22131,2015,9,9,2,83,112,5,105,1500,2,20.1,1012.7,17.7,0,ENE,0.8,Tiantan,09-09-2015 02:00,Moderate
22132,2015,9,9,3,46,55,3,44,900,69,20.3,1008,14.9,0,NNW,1.2,Changping,09-09-2015 03:00,Good
22132,2015,9,9,3,44,46,2,9,600,56,17.8,1008.1,16.3,0,NW,1.3,Huairou,09-09-2015 03:00,Good
22132,2015,9,9,3,77,124,6,120,1400,2,20.4,1012.8,16,0,ENE,1.3,Tiantan,09-09-2015 03:00,Moderate
22132,2015,9,9,3,72,106,3,106,1200,3,20.4,1012.8,16,0,ENE,1.3,Wanshouxigong,09-09-2015 03:00,Moderate
22133,2015,9,9,4,65,85,3,56,900,39,20.5,1012.8,15.5,0,ENE,1.2,Wanshouxigong,09-09-2015 04:00,Moderate
22133,2015,9,9,4,71,89,5,97,1100,8,20.5,1012.8,15.5,0,ENE,1.2,Tiantan,09-09-2015 04:00,Moderate
22133,2015,9,9,4,47,51,2,6,600,49,17.9,1008.2,16.2,0,ENE,0.1,Huairou,09-09-2015 04:00,Good
22133,2015,9,9,4,38,45,3,29,800,77,21.1,1008.1,15.4,0,N,1.6,Changping,09-09-2015 04:00,Good
22134,2015,9,9,5,46,48,2,16,700,45,18.1,1008.4,16.3,0,NNE,0.4,Huairou,09-09-2015 05:00,Good
